city,occurred_at,magnitude,depth,latitude,longitude
Garrelsweer,83,3.2,3.0,53.322,6.8
Appingedam,83,2.6,3.0,53.343,6.885
Loppersum,71,3.2,3.0,53.355,6.774
Zeerijp,66,3.4,3.0,53.366,6.782
Overschild,65,2.4,3.0,53.295,6.835
Wirdum,60,3.1,3.0,53.328,6.81
Sappemeer,48,2.2,3.0,53.185,6.821
Tjuchem,43,2.0,3.0,53.297,6.907
Froombosch,42,2.6,3.0,53.211,6.803
Westeremden,42,3.5,3.0,53.355,6.719
Siddeburen,42,1.9,3.0,53.273,6.909
Noordlaren,41,1.4,3.0,53.122,6.655
Roswinkel,40,3.4,1.5,52.845,7.064
Schildwolde,40,2.3,3.0,53.264,6.844
Harkstede,39,2.6,3.0,53.236,6.705
Meedhuizen,37,2.3,3.0,53.312,6.953
Lageland,34,2.1,3.0,53.262,6.733
Groningen,31,1.5,3.0,53.254,6.666
Scharmer,30,2.8,3.0,53.235,6.73
Hellum,28,3.1,3.0,53.264,6.857
